Time,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/rf_ext/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/ibuf/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/csr/,/TestDriver/testHarness/chiptop0/system/tile_prci_domain/element_reset_domain_rockettile/core/div/
670779,2350000.0,309600.0,291000.0,79900.0,5300.0
670781,1570000.0,200600.0,224100.0,267900.0,8500.0
670783,2150000.0,392400.0,281600.0,291200.0,6200.0
670785,2120000.0,351400.0,265900.0,292100.0,1200.0
670787,1490000.0,240800.0,184400.0,209900.0,8000.0
670789,2130000.0,237900.0,220900.0,227100.0,3500.0
670791,2080000.0,286600.0,139900.0,229100.0,5900.0
670793,1490000.0,236900.0,207800.0,98400.0,4300.0
670795,2430000.0,438500.0,246100.0,190300.0,4800.0
670797,2370000.0,268800.0,255400.0,238000.0,1200.0
670799,2390000.0,516400.0,195700.0,224900.0,11300.0
670801,2200000.0,274000.0,140400.0,234900.0,118900.0
670803,1020000.0,158300.0,10300.0,247100.0,340600.0
670805,790000.0,143000.0,8700.0,181000.0,321800.0
670807,310000.0,118500.0,5200.0,9700.0,120900.0
670809,640000.0,93000.0,2300.0,3400.0,512300.0
670811,720000.0,94300.0,17400.0,4800.0,435000.0
670813,2550000.0,232800.0,239600.0,21700.0,42100.0
670815,2470000.0,229200.0,293700.0,27000.0,6500.0
670817,2270000.0,117100.0,162100.0,201500.0,-1500.0
670819,2350000.0,175800.0,114600.0,138200.0,-1500.0
670821,800000.0,106500.0,28000.0,217700.0,-1400.0
670823,1490000.0,393200.0,256900.0,205900.0,2700.0
670825,1280000.0,276100.0,224200.0,14900.0,2000.0
670827,1680000.0,454400.0,236200.0,153600.0,-300.0
670829,1620000.0,332500.0,248800.0,162700.0,4000.0
670831,2030000.0,341900.0,260600.0,92400.0,3700.0
670833,2390000.0,429600.0,253100.0,246300.0,5600.0
670835,1700000.0,365200.0,309000.0,127700.0,-500.0
670837,1820000.0,377600.0,232400.0,121600.0,3400.0
670839,2160000.0,380900.0,239100.0,290800.0,3400.0
670841,1630000.0,461400.0,153300.0,271500.0,-400.0
670843,1820000.0,461900.0,171400.0,172900.0,0.0
670845,2080000.0,284000.0,117500.0,26400.0,300.0
670847,1800000.0,380100.0,288200.0,283300.0,-100.0
670849,2550000.0,487200.0,266800.0,243600.0,0.0
670851,1830000.0,566500.0,229300.0,131600.0,-300.0
670853,1600000.0,435500.0,155900.0,205600.0,0.0
670855,2390000.0,499300.0,244500.0,190100.0,100.0
670857,2630000.0,505100.0,225200.0,28500.0,-100.0
670859,1630000.0,365400.0,90500.0,184700.0,0.0
670861,610000.0,249200.0,7100.0,166800.0,-100.0
670863,570000.0,222900.0,10800.0,179600.0,-100.0
670865,1550000.0,358500.0,196900.0,78600.0,100.0
670867,1950000.0,309400.0,281500.0,83900.0,3800.0
670869,2210000.0,391300.0,249800.0,201000.0,0.0
670871,1560000.0,272100.0,218900.0,227700.0,4500.0
670873,1660000.0,314000.0,208500.0,136300.0,0.0
670875,2250000.0,299000.0,243800.0,133900.0,-200.0
670877,2210000.0,251400.0,189800.0,205400.0,0.0
670879,960000.0,179600.0,37900.0,243200.0,-200.0
670881,940000.0,159900.0,110200.0,223700.0,-100.0
